Indicator,Release_Date
2024年国民经济和社会发展统计公报,2025-02-28 09:30:00
全国居民收支情况季度报告,2025-10-20 10:00:00
全国居民收支情况季度报告,2025-07-15 10:00:00
全国居民收支情况季度报告,2025-04-16 10:00:00
全国居民收支情况季度报告,2025-01-17 10:00:00
全国工业产能利用率季度报告,2025-07-15 10:00:00
全国工业产能利用率季度报告,2025-04-16 10:00:00
全国工业产能利用率季度报告,2025-01-17 10:00:00
全国工业产能利用率季度报告,2025-10-20 10:00:00
商品住宅销售价格指数月度报告,2025-08-15 09:30:00
商品住宅销售价格指数月度报告,2025-03-17 09:30:00
商品住宅销售价格指数月度报告,2025-09-15 09:30:00
商品住宅销售价格指数月度报告,2025-04-16 09:30:00
商品住宅销售价格指数月度报告,2025-12-15 09:30:00
商品住宅销售价格指数月度报告,2025-02-19 09:30:00
商品住宅销售价格指数月度报告,2025-05-19 09:30:00
商品住宅销售价格指数月度报告,2025-07-15 09:30:00
商品住宅销售价格指数月度报告,2025-01-17 09:30:00
商品住宅销售价格指数月度报告,2025-06-16 09:30:00
商品住宅销售价格指数月度报告,2025-11-14 09:30:00
商品住宅销售价格指数月度报告,2025-10-20 09:30:00
固定资产投资（不含农户）月度报告,2025-05-19 10:00:00
固定资产投资（不含农户）月度报告,2025-04-16 10:00:00
固定资产投资（不含农户）月度报告,2025-12-15 10:00:00
固定资产投资（不含农户）月度报告,2025-06-16 10:00:00
固定资产投资（不含农户）月度报告,2025-08-15 10:00:00
固定资产投资（不含农户）月度报告,2025-11-14 10:00:00
固定资产投资（不含农户）月度报告,2025-01-17 10:00:00
固定资产投资（不含农户）月度报告,2025-07-15 10:00:00
固定资产投资（不含农户）月度报告,2025-10-20 10:00:00
固定资产投资（不含农户）月度报告,2025-09-15 10:00:00
固定资产投资（不含农户）月度报告,2025-03-17 10:00:00
国民经济运行情况,2025-07-15 10:00:00
国民经济运行情况,2025-05-19 10:00:00
国民经济运行情况,2025-01-17 10:00:00
国民经济运行情况,2025-03-17 10:00:00
国民经济运行情况,2025-04-16 10:00:00
国民经济运行情况,2025-09-15 10:00:00
国民经济运行情况,2025-06-16 10:00:00
国民经济运行情况,2025-10-20 10:00:00
国民经济运行情况,2025-08-15 10:00:00
国民经济运行情况,2025-11-14 10:00:00
国民经济运行情况,2025-12-15 10:00:00
季度主要行业增加值初步核算报告,2025-04-17 09:30:00
季度主要行业增加值初步核算报告,2025-10-21 09:30:00
季度主要行业增加值初步核算报告,2025-01-18 09:30:00
季度主要行业增加值初步核算报告,2025-07-16 09:30:00
居民消费价格指数月度报告,2025-06-09 09:30:00
居民消费价格指数月度报告,2025-08-09 09:30:00
居民消费价格指数月度报告,2025-11-09 09:30:00
居民消费价格指数月度报告,2025-10-15 09:30:00
居民消费价格指数月度报告,2025-12-10 09:30:00
居民消费价格指数月度报告,2025-09-10 09:30:00
居民消费价格指数月度报告,2025-07-09 09:30:00
居民消费价格指数月度报告,2025-05-10 09:30:00
居民消费价格指数月度报告,2025-03-09 09:30:00
居民消费价格指数月度报告,2025-04-10 09:30:00
居民消费价格指数月度报告,2025-02-09 09:30:00
居民消费价格指数月度报告,2025-01-09 09:30:00
工业生产者价格指数月度报告,2025-06-09 09:30:00
工业生产者价格指数月度报告,2025-08-09 09:30:00
工业生产者价格指数月度报告,2025-11-09 09:30:00
工业生产者价格指数月度报告,2025-05-10 09:30:00
工业生产者价格指数月度报告,2025-02-09 09:30:00
工业生产者价格指数月度报告,2025-04-10 09:30:00
工业生产者价格指数月度报告,2025-10-15 09:30:00
工业生产者价格指数月度报告,2025-12-10 09:30:00
工业生产者价格指数月度报告,2025-03-09 09:30:00
工业生产者价格指数月度报告,2025-07-09 09:30:00
工业生产者价格指数月度报告,2025-01-09 09:30:00
工业生产者价格指数月度报告,2025-09-10 09:30:00
工业经济效益月度报告,2025-08-27 09:30:00
工业经济效益月度报告,2025-03-27 09:30:00
工业经济效益月度报告,2025-05-27 09:30:00
工业经济效益月度报告,2025-01-27 09:30:00
工业经济效益月度报告,2025-10-27 09:30:00
工业经济效益月度报告,2025-11-27 09:30:00
工业经济效益月度报告,2025-09-27 09:30:00
工业经济效益月度报告,2025-07-27 09:30:00
工业经济效益月度报告,2025-12-27 09:30:00
工业经济效益月度报告,2025-04-27 09:30:00
工业经济效益月度报告,2025-06-27 09:30:00
房地产开发和销售情况月度报告,2025-09-15 10:00:00
房地产开发和销售情况月度报告,2025-05-19 10:00:00
房地产开发和销售情况月度报告,2025-07-15 10:00:00
房地产开发和销售情况月度报告,2025-11-14 10:00:00
房地产开发和销售情况月度报告,2025-01-17 10:00:00
房地产开发和销售情况月度报告,2025-08-15 10:00:00
房地产开发和销售情况月度报告,2025-04-16 10:00:00
房地产开发和销售情况月度报告,2025-12-15 10:00:00
房地产开发和销售情况月度报告,2025-06-16 10:00:00
房地产开发和销售情况月度报告,2025-10-20 10:00:00
房地产开发和销售情况月度报告,2025-03-17 10:00:00
社会消费品零售总额月度报告,2025-10-20 10:00:00
社会消费品零售总额月度报告,2025-06-16 10:00:00
社会消费品零售总额月度报告,2025-11-14 10:00:00
社会消费品零售总额月度报告,2025-09-15 10:00:00
社会消费品零售总额月度报告,2025-01-17 10:00:00
社会消费品零售总额月度报告,2025-05-19 10:00:00
社会消费品零售总额月度报告,2025-03-17 10:00:00
社会消费品零售总额月度报告,2025-12-15 10:00:00
社会消费品零售总额月度报告,2025-04-16 10:00:00
社会消费品零售总额月度报告,2025-07-15 10:00:00
社会消费品零售总额月度报告,2025-08-15 10:00:00
能源生产情况月度报告,2025-06-16 10:00:00
能源生产情况月度报告,2025-12-15 10:00:00
能源生产情况月度报告,2025-08-15 10:00:00
能源生产情况月度报告,2025-04-16 10:00:00
能源生产情况月度报告,2025-11-14 10:00:00
能源生产情况月度报告,2025-01-17 10:00:00
能源生产情况月度报告,2025-05-19 10:00:00
能源生产情况月度报告,2025-03-17 10:00:00
能源生产情况月度报告,2025-07-15 10:00:00
能源生产情况月度报告,2025-09-15 10:00:00
能源生产情况月度报告,2025-10-20 10:00:00
规模以上工业生产月度报告,2025-12-15 10:00:00
规模以上工业生产月度报告,2025-01-17 10:00:00
规模以上工业生产月度报告,2025-06-16 10:00:00
规模以上工业生产月度报告,2025-11-14 10:00:00
规模以上工业生产月度报告,2025-09-15 10:00:00
规模以上工业生产月度报告,2025-07-15 10:00:00
规模以上工业生产月度报告,2025-05-19 10:00:00
规模以上工业生产月度报告,2025-04-16 10:00:00
规模以上工业生产月度报告,2025-10-20 10:00:00
规模以上工业生产月度报告,2025-08-15 10:00:00
规模以上工业生产月度报告,2025-03-17 10:00:00
规模以上文化及相关产业生产经营季度报告,2025-04-29 09:30:00
规模以上文化及相关产业生产经营季度报告,2025-10-30 09:30:00
规模以上文化及相关产业生产经营季度报告,2025-01-27 09:30:00
规模以上文化及相关产业生产经营季度报告,2025-07-30 09:30:00
采购经理指数月度报告,2025-07-31 09:30:00
采购经理指数月度报告,2025-11-30 09:30:00
采购经理指数月度报告,2025-12-31 09:30:00
采购经理指数月度报告,2025-06-30 09:30:00
采购经理指数月度报告,2025-09-30 09:30:00
采购经理指数月度报告,2025-04-30 09:30:00
采购经理指数月度报告,2025-05-31 09:30:00
采购经理指数月度报告,2025-01-27 09:30:00
采购经理指数月度报告,2025-08-31 09:30:00
采购经理指数月度报告,2025-10-31 09:30:00
